time,rate_limited_rps
39,12.106855
40,20.836487
41,23.475960
42,26.115432
43,26.394723
44,25.805163
45,25.405163
46,25.405163
47,25.405163
48,25.405163
49,25.600000
50,25.800000
51,25.800000
52,25.800000
53,25.800000
54,25.600000
55,25.600000
56,25.600000
57,25.600000
58,25.600000
59,25.200000
60,24.800000
61,24.800000
62,24.800000
63,24.800000
64,25.000000
65,25.200000
66,25.200000
67,25.200000
68,25.200000
69,26.000000
70,26.400000
71,26.400000
72,26.400000
73,26.400000
74,25.994843
75,25.994843
76,25.994843
77,25.994843
78,25.994843
79,26.205283
80,26.005283
81,26.005283
82,26.005283
83,26.005283
84,25.600000
85,25.400000
86,25.400000
87,25.400000
88,25.400000
89,25.800000
90,26.400000
91,26.400000
92,26.400000
93,26.400000
94,22.200000
95,17.600000
96,17.600000
97,17.600000
98,17.600000
99,4.400000
100,0.000000
101,0.000000
102,0.000000
103,0.000000
104,0.000000
105,0.000000
106,0.000000
107,0.000000
108,0.000000
109,0.000000
110,0.000000
111,0.000000
112,0.000000
113,0.000000
114,0.000000
115,0.000000
116,0.000000
117,0.000000
118,0.000000
119,0.000000
120,0.000000
121,0.000000
122,0.000000
